order_id,date,customer_id,time,carrier_id
1,04.01.2015,449,11:38:36,3
2,01.01.2015,241,11:57:40,2
3,01.01.2015,430,12:12:28,2
4,01.01.2015,232,12:16:31,4
5,01.01.2015,60,12:21:30,2
6,01.01.2015,877,12:29:36,4
7,01.01.2015,710,12:50:37,3
8,01.01.2015,448,12:51:37,3
9,01.01.2015,460,12:52:01,3
10,01.01.2015,93,13:00:15,1
11,01.01.2015,875,13:02:59,3
12,01.01.2015,740,13:04:41,2
13,01.01.2015,699,13:11:55,2
14,01.01.2015,280,13:14:19,4
15,01.01.2015,652,13:33:00,1
16,01.01.2015,297,13:34:07,3
17,01.01.2015,664,13:53:00,4
18,01.01.2015,367,13:57:08,3
19,01.01.2015,692,13:59:09,4
20,01.01.2015,206,14:03:08,4
21,01.01.2015,723,14:14:29,4
22,01.01.2015,477,14:16:26,1
23,01.01.2015,712,14:19:03,3
24,01.01.2015,137,14:23:01,2
25,01.01.2015,244,14:44:44,2
26,01.01.2015,172,14:54:26,2
27,01.01.2015,882,15:11:17,4
28,01.01.2015,14,15:35:46,3
29,01.01.2015,75,15:41:01,1
30,01.01.2015,389,15:41:25,2
31,01.01.2015,550,15:50:18,2
32,01.01.2015,802,15:53:18,2
33,01.01.2015,802,15:54:08,4
34,01.01.2015,77,16:21:21,1
35,01.01.2015,748,16:32:04,1
36,01.01.2015,719,16:54:09,2
37,01.01.2015,465,16:56:09,3
38,01.01.2015,449,17:03:00,1
39,01.01.2015,205,17:07:23,1
40,01.01.2015,369,17:14:36,4
41,01.01.2015,106,17:15:20,2
42,01.01.2015,780,17:28:09,1
43,01.01.2015,680,17:38:34,3
44,01.01.2015,379,17:54:20,1
45,01.01.2015,337,17:55:48,3
46,01.01.2015,60,18:25:51,4
47,01.01.2015,130,18:26:34,3
48,01.01.2015,280,18:26:42,1
49,01.01.2015,12,18:33:00,3
50,01.01.2015,789,18:41:01,2
51,01.01.2015,709,18:48:28,2
52,01.01.2015,683,18:53:02,4
53,01.01.2015,866,18:54:17,2
54,01.01.2015,560,19:01:45,4
55,01.01.2015,823,19:03:19,2
56,01.01.2015,633,19:07:00,4
57,01.01.2015,2,19:10:51,1
58,01.01.2015,129,19:30:40,4
59,01.01.2015,139,19:40:08,2
60,01.01.2015,130,20:05:16,2
61,01.01.2015,826,20:08:43,2
62,01.01.2015,932,20:50:16,1
63,01.01.2015,67,20:51:42,2
64,01.01.2015,914,20:52:08,3
65,01.01.2015,827,21:16:00,4
66,01.01.2015,601,21:47:55,1
67,01.01.2015,586,22:03:40,3
68,01.01.2015,431,22:07:32,3
69,01.01.2015,540,22:12:13,4
70,02.01.2015,484,11:38:51,2
71,02.01.2015,734,11:40:50,1
72,02.01.2015,283,11:57:25,3
73,02.01.2015,241,11:58:56,2
74,02.01.2015,122,12:01:12,2
75,02.01.2015,886,12:10:15,4
76,02.01.2015,821,12:21:17,2
77,02.01.2015,291,12:22:46,2
78,02.01.2015,509,12:28:14,1
79,02.01.2015,306,12:29:11,1
80,02.01.2015,813,12:35:38,1
81,02.01.2015,17,12:40:01,3
82,02.01.2015,212,12:45:51,1
83,02.01.2015,460,12:53:27,4
84,02.01.2015,794,13:13:41,1
85,02.01.2015,718,13:34:49,3
86,02.01.2015,362,13:40:31,3
87,02.01.2015,860,14:01:02,4
88,02.01.2015,569,14:10:08,3
89,02.01.2015,325,14:30:19,2
90,02.01.2015,793,15:08:48,3
91,02.01.2015,757,15:14:43,3
92,02.01.2015,10,15:17:02,1
93,02.01.2015,353,15:29:31,1
94,02.01.2015,764,16:17:16,4
95,02.01.2015,623,16:18:04,3
96,02.01.2015,26,16:21:20,1
97,02.01.2015,486,16:45:33,1
